date,state_abbr,state_full_name,positive,negative,pending,hospitalized,death,total,dateChecked
20200315,DE,Delaware,6,36,32,,,74,2020-03-15T20:00:00Z
20200315,FL,Florida,116,678,454,,4,1248,2020-03-15T20:00:00Z
20200315,GA,Georgia,99,,,,1,99,2020-03-15T20:00:00Z
20200315,HI,Hawaii,2,,,,,2,2020-03-15T20:00:00Z
20200315,IA,Iowa,18,83,,,,101,2020-03-15T20:00:00Z
20200315,ID,Idaho,5,171,,,,176,2020-03-15T20:00:00Z
20200315,IL,Illinois,64,449,195,,,708,2020-03-15T20:00:00Z
20200315,IN,Indiana,19,102,,,0,121,2020-03-15T20:00:00Z
20200315,KS,Kansas,8,135,,,1,143,2020-03-15T20:00:00Z
20200315,KY,Kentucky,16,139,,,,155,2020-03-15T20:00:00Z
20200315,LA,Louisiana,91,156,,,2,247,2020-03-15T20:00:00Z
20200315,MA,Massachusetts,138,352,,,,490,2020-03-15T20:00:00Z
20200315,MD,Maryland,31,94,,,,125,2020-03-15T20:00:00Z
20200315,ME,Maine,3,91,17,,,111,2020-03-15T20:00:00Z
20200315,MI,Michigan,33,205,26,,,264,2020-03-15T20:00:00Z
20200315,MN,Minnesota,35,1387,,,,1422,2020-03-15T20:00:00Z
20200315,MO,Missouri,5,122,,,0,127,2020-03-15T20:00:00Z
20200315,MS,Mississippi,10,84,,,,94,2020-03-15T20:00:00Z
20200315,MT,Montana,7,103,57,,,167,2020-03-15T20:00:00Z
